[connect multimeasure block] wpli/broadband times 50/81
[connect multimeasure block] wpli/broadband times 60/81
[connect multimeasure block] wpli/broadband times 70/81
[connect multimeasure block] wpli/broadband times 80/81
[connect multimeasure block] wpli/delta times 10/81
[connect multimeasure block] wpli/delta times 20/81
[connect multimeasure block] wpli/delta times 30/81
[connect multimeasure block] wpli/delta times 40/81
[connect multimeasure block] wpli/delta times 50/81
[connect multimeasure block] wpli/delta times 60/81
[connect multimeasure block] wpli/delta times 70/81
[connect multimeasure block] wpli/delta times 80/81
[connect multimeasure block] wpli/theta times 10/81
[connect multimeasure block] wpli/theta times 20/81
[connect multimeasure block] wpli/theta times 30/81
[connect multimeasure block] wpli/theta times 40/81
[connect multimeasure block] wpli/theta times 50/81
[connect multimeasure block] wpli/theta times 60/81
[connect multimeasure block] wpli/theta times 70/81
[connect multimeasure block] wpli/theta times 80/81
[connect multimeasure block] wpli2_debiased/alpha times 10/81
[connect multimeasure block] wpli2_debiased/alpha times 20/81
[connect multimeasure block] wpli2_debiased/alpha times 30/81
[connect multimeasure block] wpli2_debiased/alpha times 40/81
[connect multimeasure block] wpli2_debiased/alpha times 50/81
[connect multimeasure block] wpli2_debiased/alpha times 60/81
[connect multimeasure block] wpli2_debiased/alpha times 70/81
[connect multimeasure block] wpli2_debiased/alpha times 80/81
[connect multimeasure block] wpli2_debiased/broadband times 10/81
[connect multimeasure block] wpli2_debiased/broadband times 20/81
[connect multimeasure block] wpli2_debiased/broadband times 30/81
[connect multimeasure block] wpli2_debiased/broadband times 40/81
[connect multimeasure block] wpli2_debiased/broadband times 50/81
[connect multimeasure block] wpli2_debiased/broadband times 60/81
[connect multimeasure block] wpli2_debiased/broadband times 70/81
[connect multimeasure block] wpli2_debiased/broadband times 80/81
[connect multimeasure block] wpli2_debiased/delta times 10/81
[connect multimeasure block] wpli2_debiased/delta times 20/81
[connect multimeasure block] wpli2_debiased/delta times 30/81
[connect multimeasure block] wpli2_debiased/delta times 40/81
[connect multimeasure block] wpli2_debiased/delta times 50/81
[connect multimeasure block] wpli2_debiased/delta times 60/81
[connect multimeasure block] wpli2_debiased/delta times 70/81
[connect multimeasure block] wpli2_debiased/delta times 80/81
[connect multimeasure block] wpli2_debiased/theta times 10/81
[connect multimeasure block] wpli2_debiased/theta times 20/81
[connect multimeasure block] wpli2_debiased/theta times 30/81
[connect multimeasure block] wpli2_debiased/theta times 40/81
[connect multimeasure block] wpli2_debiased/theta times 50/81
[connect multimeasure block] wpli2_debiased/theta times 60/81
[connect multimeasure block] wpli2_debiased/theta times 70/81
[connect multimeasure block] wpli2_debiased/theta times 80/81
[connect multimeasure block] wrote /Users/mq20185996/projects/cat_learn_auto_eeg/output/connect_multimeasure_smoke_block_model_timecourse_subject.csv
[connect multimeasure block] wrote /Users/mq20185996/projects/cat_learn_auto_eeg/output/connect_multimeasure_smoke_block_model_timecourse_summary.csv
